date,hour_beginning,contract_value,label
4/12/19,17,0.2175,actual
4/12/19,18,0.32,actual
4/12/19,19,0.105,actual
4/12/19,20,0.365,actual
4/12/19,21,0.6,actual
4/12/19,22,3.4625,actual
4/12/19,23,4.8975,actual
4/13/19,0,4.615,actual
4/13/19,1,4.56,actual
4/13/19,2,3.2625,actual
4/13/19,3,3.1075,actual
4/13/19,4,1.425,actual
4/13/19,5,1.765,actual
4/13/19,6,1.3775,actual
4/13/19,7,0.7275,actual
4/13/19,8,1.8725,actual
4/13/19,9,4.4025,actual
4/13/19,10,5.5625,actual
4/13/19,11,4.97,actual
4/13/19,12,5.065,actual
4/13/19,13,7.595,actual
4/13/19,14,5.6875,actual
4/13/19,15,5.905,actual
4/13/19,16,4.3175,actual
4/13/19,17,2.9475,actual
4/13/19,18,1.3875,actual
4/13/19,19,0.4525,actual
4/13/19,20,-0.045,actual
4/13/19,21,-0.025,actual
4/13/19,22,-0.1975,actual
4/13/19,23,-0.7075,actual
4/14/19,0,-1.08,actual
4/14/19,1,-0.8475,actual
4/14/19,2,-0.135,actual
4/14/19,3,-0.2225,actual
4/14/19,4,-0.0475,actual
4/14/19,5,-0.0025,actual
4/14/19,6,-0.135,actual
4/14/19,7,-0.1325,actual
4/14/19,8,-0.115,actual
4/14/19,9,-0.16,actual
4/14/19,10,0,actual
4/14/19,11,0,actual
4/14/19,12,0,actual
4/14/19,13,0,actual
4/14/19,14,0,actual
4/14/19,15,0,actual
4/14/19,16,0,actual
4/14/19,17,-0.0025,actual
4/14/19,18,0,actual
4/14/19,19,5.885,actual
4/14/19,20,19.0525,actual
4/14/19,21,13.0775,actual
4/14/19,22,14.7925,actual
4/14/19,23,13.5225,actual
4/15/19,0,1.2025,actual
4/15/19,1,-0.0525,actual
4/15/19,2,-0.0525,actual
4/15/19,3,-0.0475,actual
4/15/19,4,0.8225,actual
4/15/19,5,8.3525,actual
4/15/19,6,1.83,actual
4/15/19,7,21.1275,actual
4/15/19,8,23.9975,actual
4/15/19,9,28.8725,actual
4/15/19,10,33.255,actual
4/15/19,11,33.9475,actual
4/15/19,12,34.4125,actual
4/15/19,13,36.435,actual
4/15/19,14,36.8575,actual
4/15/19,15,41.21,actual
4/15/19,16,45.16,actual
4/15/19,17,43.24,actual
4/15/19,18,34.25,actual
4/15/19,19,22.8975,actual
4/15/19,20,25.1625,actual
4/15/19,21,59.3325,actual
4/15/19,22,56.085,actual
4/15/19,23,39.1275,actual
4/16/19,0,48.0575,actual
4/16/19,1,41.395,actual
4/16/19,2,38.9325,actual
4/16/19,3,39.51,actual
4/16/19,4,38.23,actual
4/16/19,5,36.975,actual
4/16/19,6,35.255,actual
4/16/19,7,25.5325,actual
4/16/19,8,19.16,actual
4/16/19,9,10.455,actual
4/16/19,10,10.9475,actual
4/16/19,11,11.105,actual
4/16/19,12,8.5225,actual
4/16/19,13,51.76,actual
4/16/19,14,51.4875,actual
4/16/19,15,3.8925,actual
4/16/19,16,-0.1075,actual
4/16/19,17,3.3775,actual
4/16/19,18,7.025,actual
4/16/19,19,19.0175,actual
4/16/19,20,22.8025,actual
4/16/19,21,24.555,actual
4/16/19,22,23.805,actual
4/16/19,23,21.7875,actual
4/17/19,0,14.5875,actual
4/17/19,1,7.0125,actual
4/17/19,2,0.755,actual
4/17/19,3,0.4775,actual
4/17/19,4,0.35,actual
4/17/19,5,0.0375,actual
4/17/19,6,0.45,actual
4/17/19,7,-0.2325,actual
4/17/19,8,-0.09,actual
4/17/19,9,-0.455,actual
4/17/19,10,0.335,actual
4/17/19,11,0.5075,actual
4/17/19,12,0.455,actual
4/17/19,13,0.1375,actual
4/17/19,14,0.0925,actual
4/17/19,15,0.295,actual
4/17/19,16,21.625,actual
4/17/19,17,8.8875,actual
4/17/19,18,17.9075,actual
4/17/19,19,61.855,actual
4/17/19,20,124.89,actual
4/17/19,21,28.7075,actual
4/17/19,22,26.8725,actual
4/17/19,23,3.615,actual
4/18/19,0,-1.7825,actual
4/18/19,1,-1.225,actual
4/18/19,2,-1.1075,actual
4/18/19,3,3.845,actual
4/18/19,4,6.275,actual
4/18/19,5,11.6375,actual
4/18/19,6,8.7275,actual
4/18/19,7,6.24,actual
4/18/19,8,18.865,actual
4/18/19,9,21.525,actual
4/18/19,10,16.8775,actual
4/18/19,11,15.68,actual
4/18/19,12,16.8825,actual
4/18/19,13,16.8725,actual
4/18/19,14,15.15,actual
4/18/19,15,14.8575,actual
4/18/19,16,14.8525,actual
4/18/19,17,13.1425,actual
4/18/19,18,7.7575,actual
4/18/19,19,2.6625,actual
4/18/19,20,0,actual
4/18/19,21,0,actual
4/18/19,22,0,actual
4/18/19,23,0,actual
4/19/19,0,0,actual
4/19/19,1,0,actual
4/19/19,2,0,actual
4/19/19,3,0,actual
4/19/19,4,0,actual
4/19/19,5,0,actual
4/19/19,6,0,actual
4/19/19,7,0,actual
4/19/19,8,0,actual
4/19/19,9,0,actual
4/19/19,10,0,actual
4/19/19,11,0,actual
4/19/19,12,0,actual
4/19/19,13,0,actual
4/19/19,14,0,actual
4/19/19,15,0,actual
4/19/19,16,0,actual
4/19/19,17,0,actual
4/19/19,18,0,actual
4/19/19,19,0,actual
4/19/19,20,0,actual
4/19/19,21,0,actual
4/19/19,22,0,actual
4/19/19,23,0,actual
4/20/19,0,0,actual
4/20/19,1,0,actual
4/20/19,2,0,actual
4/20/19,3,0,actual
4/20/19,4,0.075,actual
4/20/19,5,0.405,actual
4/20/19,6,0.35,actual
4/20/19,7,0.4675,actual
4/20/19,8,0.46,actual
4/20/19,9,0.145,actual
4/20/19,10,0.4975,actual
4/20/19,11,0.34,actual
4/20/19,12,0.2725,actual
4/20/19,13,0.5625,actual
4/20/19,14,0.8775,actual
4/20/19,15,0.695,actual
4/20/19,16,0.65,actual
4/20/19,17,0.67,actual
4/20/19,18,1.835,actual
4/20/19,19,0.1125,actual
4/20/19,20,15.9425,actual
4/20/19,21,20.145,actual
4/20/19,22,17.0875,actual
4/20/19,23,10.72,actual
4/21/19,0,13.5375,actual
4/21/19,1,6.3775,actual
4/21/19,2,0.7425,actual
4/21/19,3,-0.1675,actual
4/21/19,4,-0.015,actual
4/21/19,5,-0.0625,actual
4/21/19,6,-0.04,actual
4/21/19,7,1.345,actual
4/21/19,8,0.9725,actual
4/21/19,9,-0.4125,actual
4/21/19,10,-0.335,actual
4/21/19,11,-0.18,actual
4/21/19,12,-0.045,actual
4/21/19,13,-0.145,actual
4/21/19,14,-0.28,actual
4/21/19,15,-0.615,actual
4/21/19,16,-0.2675,actual
4/21/19,17,-0.235,actual
4/21/19,18,-0.39,actual
4/21/19,19,-0.6725,actual
4/21/19,20,-0.3575,actual
4/21/19,21,0.005,actual
4/21/19,22,0.1,actual
4/21/19,23,0.4225,actual
4/22/19,0,4.6675,actual
4/22/19,1,1.2575,actual
4/22/19,2,0.9525,actual
4/22/19,3,2.225,actual
4/22/19,4,0.3075,actual
4/22/19,5,-0.005,actual
4/22/19,6,-0.0025,actual
4/22/19,7,0,actual
4/22/19,8,0,actual
4/22/19,9,-0.1825,actual
4/22/19,10,0.15,actual
4/22/19,11,-0.6725,actual
4/22/19,12,-0.1775,actual
4/22/19,13,35.0925,actual
4/22/19,14,282.925,actual
4/22/19,15,144.2925,actual
4/22/19,16,39.3025,actual
4/22/19,17,6.905,actual
4/22/19,18,0.5875,actual
4/22/19,19,0.105,actual
4/22/19,20,-0.58,actual
4/22/19,21,-1.2525,actual
4/22/19,22,-0.585,actual
4/22/19,23,0,actual
4/23/19,0,0,actual
4/23/19,1,-0.3925,actual
4/23/19,2,0,actual
4/23/19,3,0,actual
4/23/19,4,0,actual
4/23/19,5,0,actual
4/23/19,6,0,actual
4/23/19,7,-0.0075,actual
4/23/19,8,0,actual
4/23/19,9,0,actual
4/23/19,10,0,actual
4/23/19,11,-0.8875,actual
4/23/19,12,-0.43,actual
4/23/19,13,-0.94,actual
4/23/19,14,-0.8375,actual
4/23/19,15,-0.5975,actual
4/23/19,16,-0.1925,actual
4/23/19,17,-0.3175,actual
4/23/19,18,-0.11,actual
4/23/19,19,0,actual
4/23/19,20,0,actual
4/23/19,21,0,actual
4/23/19,22,0,actual
4/23/19,23,0,actual
4/24/19,0,0,actual
4/24/19,1,0,actual
4/24/19,2,0,actual
4/24/19,3,0,actual
4/24/19,4,0,actual
4/24/19,5,0.005,actual
4/24/19,6,0.0425,actual
4/24/19,7,0.07,actual
4/24/19,8,-0.8325,actual
4/24/19,9,-2.035,actual
4/24/19,10,-1.7425,actual
4/24/19,11,-0.2475,actual
4/24/19,12,0.005,actual
4/24/19,13,0.005,actual
4/24/19,14,0.0075,actual
4/24/19,15,-0.105,actual
4/24/19,16,-0.105,actual
4/24/19,17,0.0025,actual
4/24/19,18,-0.1,actual
4/24/19,19,-0.04,actual
4/24/19,20,-0.475,actual
4/24/19,21,-0.075,actual
4/24/19,22,0.015,actual
4/24/19,23,0.03,actual
4/25/19,0,0.02,actual
4/25/19,1,0.015,actual
4/25/19,2,0.01,actual
4/25/19,3,0.01,actual
4/25/19,4,0.01,actual
4/25/19,5,0.01,actual
4/25/19,6,0.02,actual
4/25/19,7,0.0175,actual
4/25/19,8,0.02,actual
4/25/19,9,0.025,actual
4/25/19,10,19.0725,actual
4/25/19,11,64.3525,actual
4/25/19,12,50.9925,actual
4/25/19,13,51.295,actual
4/25/19,14,54.9275,actual
4/25/19,15,163.135,actual
4/25/19,16,83.925,actual
4/25/19,17,71.885,actual
4/25/19,18,33.8725,actual
4/25/19,19,30.1325,actual
4/25/19,20,17.8025,actual
4/25/19,21,0.015,actual
4/25/19,22,0.0225,actual
4/25/19,23,0.22,actual
4/26/19,0,0.0625,actual
4/26/19,1,0.7025,actual
4/26/19,2,0.6375,actual
4/26/19,3,0,actual
4/26/19,4,3.4325,actual
4/26/19,5,0.435,actual
4/26/19,6,-0.28,actual
4/26/19,7,0.2225,actual
4/26/19,8,0.23,actual
4/26/19,9,0.9625,actual
4/26/19,10,0.825,actual
4/26/19,11,0.4275,actual
4/26/19,12,13.3525,actual
4/26/19,13,33.025,actual
4/26/19,14,47.97,actual
4/26/19,15,49.2,actual
4/26/19,16,50.0875,actual
4/26/19,17,39.7,actual
4/26/19,18,35.575,actual
4/26/19,19,36.49,actual
4/26/19,20,26.225,actual
4/26/19,21,27.095,actual
4/26/19,22,35.4625,actual
4/26/19,23,33.1,actual
4/27/19,0,34.27,actual
4/27/19,1,34.3325,actual
4/27/19,2,36.095,actual
4/27/19,3,34.755,actual
4/27/19,4,32.375,actual
4/27/19,5,30.885,actual
4/27/19,6,33.395,actual
4/27/19,7,33.8375,actual
4/27/19,8,17.9975,actual
4/27/19,9,11.21,actual
4/27/19,10,11.4225,actual
4/27/19,11,5.3325,actual
4/27/19,12,4.2775,actual
4/27/19,13,3.42,actual
4/27/19,14,1.835,actual
4/27/19,15,-0.0975,actual
4/27/19,16,-0.7425,actual
4/27/19,17,0.525,actual
4/27/19,18,-0.09,actual
4/27/19,19,6.9975,actual
4/27/19,20,0.895,actual
4/27/19,21,-0.1225,actual
4/27/19,22,-0.2225,actual
4/27/19,23,-1.0825,actual
4/28/19,0,4.4475,actual
4/28/19,1,23.3875,actual
4/28/19,2,16.835,actual
4/28/19,3,11.255,actual
4/28/19,4,1.9175,actual
4/28/19,5,-0.8675,actual
4/28/19,6,-1.305,actual
4/28/19,7,-1.29,actual
4/28/19,8,-0.9775,actual
4/28/19,9,-0.4975,actual
4/28/19,10,-0.22,actual
4/28/19,11,-0.1825,actual
4/28/19,12,0.1975,actual
4/28/19,13,1.8075,actual
4/28/19,14,8.9675,actual
4/28/19,15,12.625,actual
4/28/19,16,30.205,actual
4/28/19,17,38.5625,actual
4/28/19,18,36.71,actual
4/28/19,19,19.9375,actual
4/28/19,20,10.59,actual
4/28/19,21,11.2425,actual
